"city","state_name","county_name"
"Prairie Ridge","Washington","Pierce"
"Edison","Washington","Skagit"
"Packwood","Washington","Lewis"
"Wautauga Beach","Washington","Kitsap"
"Harper","Washington","Kitsap"
"Telma","Washington","Chelan"
"Kahlotus","Washington","Franklin"
"Mondovi","Washington","Lincoln"
"Washtucna","Washington","Adams"
"Pleasant Hill","Washington","King"
"Toledo","Washington","Lewis"
"Wabash","Washington","King"
"Renton","Washington","King"
"Chehalis","Washington","Lewis"
"Central Valley","Washington","Kitsap"
"Lake City","Washington","Pierce"
"Megler","Washington","Pacific"
"Alder","Washington","Pierce"
"Ronald","Washington","Kittitas"
"Belvedere","Washington","Okanogan"
"Waverly","Washington","Spokane"
"Turner Corner","Washington","Snohomish"
"Lofall","Washington","Kitsap"
"Kennydale","Washington","King"
"Easton","Washington","Kittitas"
"Navy Yard City","Washington","Kitsap"
"Mercer Island","Washington","King"
"Lynnwood","Washington","Snohomish"
"Coulee City","Washington","Grant"
"Douglas","Washington","Douglas"
"Centralia","Washington","Lewis"
"Colbert","Washington","Spokane"
"Bryn Mawr","Washington","King"
"Silverdale","Washington","Kitsap"
"Lyle","Washington","Klickitat"
"Malott","Washington","Okanogan"
"Mountlake Terrace","Washington","Snohomish"
"Ilwaco","Washington","Pacific"
"Fairwood","Washington","King"
"Warm Beach","Washington","Snohomish"
"Thomas","Washington","King"
"Parker","Washington","Yakima"
"Steptoe","Washington","Whitman"
"Vail","Washington","Thurston"
"Magnolia Beach","Washington","King"
"Lakeview","Washington","Pierce"
"Shaw Island","Washington","San Juan"
"Oakesdale","Washington","Whitman"
"Rosburg","Washington","Wahkiakum"
"Seattle","Washington","King"
"Onalaska","Washington","Lewis"
"George","Washington","Grant"
"Index","Washington","Snohomish"
"Winchester","Washington","Grant"
"Chelatchie","Washington","Clark"
"Allentown","Washington","King"
"Novelty","Washington","King"
"Rosalia","Washington","Whitman"
"Richmond Beach","Washington","King"
"Lakota","Washington","King"
"Liberty Lake","Washington","Spokane"
"Airway Heights","Washington","Spokane"
"Reardan","Washington","Lincoln"
"Silvana","Washington","Snohomish"
"Brier","Washington","Snohomish"
"Robe","Washington","Snohomish"
"Elk Plain","Washington","Pierce"
"Port Townsend","Washington","Jefferson"
"Ocean City","Washington","Grays Harbor"
"Boulevard Park","Washington","King"
"Newhalem","Washington","Whatcom"
"Ford","Washington","Stevens"
"Waterville","Washington","Douglas"
"Quinault","Washington","Grays Harbor"
"Humptulips","Washington","Grays Harbor"
"Hamilton","Washington","Skagit"
"Oak Harbor","Washington","Island"
"Naches","Washington","Yakima"
"Anacortes","Washington","Skagit"
"Kettle Falls","Washington","Stevens"
"Walnut Grove","Washington","Clark"
"Salkum","Washington","Lewis"
"Cunningham","Washington","Adams"
"Irby","Washington","Lincoln"
"Electric City","Washington","Grant"
"Burbank","Washington","Walla Walla"
"Silver Lake","Washington","Cowlitz"
"Dash Point","Washington","Pierce"
"Woods Creek","Washington","Snohomish"
"McKenna","Washington","Pierce"
"Island View","Washington","Benton"
"Kalama","Washington","Cowlitz"
"Grandview","Washington","Yakima"
"Winthrop","Washington","Okanogan"
"Maltby","Washington","Snohomish"
"Spangle","Washington","Spokane"
"Blanchard","Washington","Skagit"
"Artondale","Washington","Pierce"
"May Creek","Washington","Snohomish"
"Home","Washington","Pierce"
"Vashon","Washington","King"
"Snoqualmie Falls","Washington","King"
"Laurier","Washington","Ferry"
"Quincy","Washington","Grant"
"Lake McMurray","Washington","Skagit"
"Martha Lake","Washington","Snohomish"
"Ariel","Washington","Cowlitz"
"Loon Lake","Washington","Stevens"
"Thornton","Washington","Whitman"
"Starbuck","Washington","Columbia"
"Mirrormont","Washington","King"
"Kelso","Washington","Cowlitz"
"Meadowdale","Washington","Snohomish"
"Cottage Lake","Washington","King"
"Cheney","Washington","Spokane"
"Woodway","Washington","Snohomish"
"Lacey","Washington","Thurston"
"Harrah","Washington","Yakima"
"Allyn","Washington","Mason"
"South Bend","Washington","Pacific"
"Barstow","Washington","Ferry"
"Tiger","Washington","Pend Oreille"
"Warden","Washington","Grant"
"Junction City","Washington","Grays Harbor"
"Blyn","Washington","Clallam"
"Lakebay","Washington","Pierce"
"Tahuya","Washington","Mason"
"Selah","Washington","Yakima"
"Kitsap Lake","Washington","Kitsap"
"Sultan","Washington","Snohomish"
"Plain","Washington","Chelan"
"Tanner","Washington","King"
"Edmonds","Washington","Snohomish"
"North Hill","Washington","King"
"Zillah","Washington","Yakima"
"Monse","Washington","Okanogan"
"Lake Forest Park","Washington","King"
"Marlin","Washington","Grant"
"Chinook","Washington","Pacific"
"Albion","Washington","Whitman"
"Skykomish","Washington","King"
"Yakima","Washington","Yakima"
"Pacific","Washington","King"
"Wishram","Washington","Klickitat"
"Cascade Valley","Washington","Grant"
"Cathcart","Washington","Snohomish"
"Brush Prairie","Washington","Clark"
"Amboy","Washington","Clark"
"Centerville","Washington","Klickitat"
"Verlot","Washington","Snohomish"
"Alstown","Washington","Douglas"
"Synarep","Washington","Okanogan"
"Annapolis","Washington","Kitsap"
"Port Gamble","Washington","Kitsap"
"Eatonville","Washington","Pierce"
"Similk Beach","Washington","Skagit"
"Cougar","Washington","Cowlitz"
"Eglon","Washington","Kitsap"
"Paterson","Washington","Benton"
"Tenino","Washington","Thurston"
"Minnehaha","Washington","Clark"
"Raymond","Washington","Pacific"
"Alger","Washington","Skagit"
"Roy","Washington","Pierce"
"Snoqualmie","Washington","King"
"Fragaria","Washington","Kitsap"
"Green Bluff","Washington","Spokane"
"Woodmont Beach","Washington","King"
"Frances","Washington","Pacific"
"Lynden","Washington","Whatcom"
"Clayton","Washington","Stevens"
"Everson","Washington","Whatcom"
"White Swan","Washington","Yakima"
"Camano","Washington","Island"
"Cedar Grove","Washington","King"
"Winton","Washington","Chelan"
"East Olympia","Washington","Thurston"
"Sunset Beach","Washington","Pierce"
"Belfair","Washington","Mason"
"Oso","Washington","Snohomish"
"Federal Way","Washington","King"
"Scandia","Washington","Kitsap"
"Quilcene","Washington","Jefferson"
"Covada","Washington","Ferry"
"Hartline","Washington","Grant"
"Juanita","Washington","King"
"Molson","Washington","Okanogan"
"Daisy","Washington","Stevens"
